label,num_queries,P@20,P@40,P@60
fhy,15,0.6266666666666668,0.545,0.42888888888888893
jx,7,0.4785714285714286,0.3892857142857143,0.30476190476190473
kx,2,0.05,0.025,0.025
mh,14,0.6785714285714286,0.4875000000000001,0.36666666666666664
nm,15,0.1733333333333333,0.12833333333333335,0.11333333333333331
sjz,15,0.3100000000000001,0.2533333333333333,0.2322222222222222
sy,15,0.5966666666666666,0.445,0.34444444444444444
tsg,15,0.31333333333333335,0.215,0.17555555555555555
ty,14,0.5607142857142857,0.4642857142857143,0.375
yf,7,0.09999999999999999,0.06785714285714287,0.06904761904761904
yk,2,0.15,0.1,0.075
zx,14,0.36071428571428565,0.2964285714285714,0.27380952380952384
