query_path,query_name,query_label,P@20,P@40,P@60
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,0.0,0.1,0.11666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,1.0,0.9,0.65
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-202505071933041.jpg,fhy-202505071933041.jpg,fhy,1.0,1.0,0.8833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-20260511140018_130_105(1).jpg,fhy-20260511140018_130_105(1).jpg,fhy,0.35,0.25,0.26666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-2837bfg872vd.jpg,fhy-2837bfg872vd.jpg,fhy,0.45,0.375,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-4f6228a6c7fbd04aa26c0f777fadedc.jpg,fhy-4f6228a6c7fbd04aa26c0f777fadedc.jpg,fhy,0.9,0.5,0.35
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-5e2877255e30fa15ed76f844332cf5fc.jpg,fhy-5e2877255e30fa15ed76f844332cf5fc.jpg,fhy,1.0,0.95,0.65
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-78834e204ffce3259503c1b32ab9cd0.jpg,fhy-78834e204ffce3259503c1b32ab9cd0.jpg,fhy,0.25,0.2,0.16666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-fhjsix85495112.jpg,fhy-fhjsix85495112.jpg,fhy,0.4,0.275,0.2
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-hxnbscxscxbbyts.jpg,fhy-hxnbscxscxbbyts.jpg,fhy,0.0,0.0,0.016666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-jsej11zoq.jpg,fhy-jsej11zoq.jpg,fhy,0.75,0.4,0.26666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-n8ddq1q.png,fhy-n8ddq1q.png,fhy,1.0,1.0,0.7166666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-qegbc40198.png,fhy-qegbc40198.png,fhy,1.0,1.0,0.95
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-qoib2.jpg,fhy-qoib2.jpg,fhy,0.3,0.225,0.18333333333333332
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-wuegad3187498.png,fhy-wuegad3187498.png,fhy,1.0,1.0,0.6833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-12bn3jol13.jpg,jx-12bn3jol13.jpg,jx,0.1,0.15,0.15
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-1nl3llnk.jpg,jx-1nl3llnk.jpg,jx,1.0,0.8,0.5666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-788bdc05cbd02a07b9ffd3018211af82.jpg,jx-788bdc05cbd02a07b9ffd3018211af82.jpg,jx,0.1,0.075,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-ewigbaiuf2o38.jpg,jx-ewigbaiuf2o38.jpg,jx,0.5,0.425,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-jahhradvhvjjcnh.jpg,jx-jahhradvhvjjcnh.jpg,jx,0.65,0.45,0.31666666666666665
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-wqdxkv47382881.jpg,jx-wqdxkv47382881.jpg,jx,1.0,0.8,0.65
d:\CODE\PY\BJTU_Vision\image_retrieval\query\jx-ZKHXiW1kazWtNtR.jpg,jx-ZKHXiW1kazWtNtR.jpg,jx,0.0,0.025,0.03333333333333333
